Time (ps)	Intensity (cps)
13597.4916	1
13607.3022	0
13617.1128	1
13626.9234	0
13636.7340	1
13646.5446	1
13656.3552	0
13666.1658	1
13675.9764	0
13685.7870	1
13695.5976	1
13705.4082	0
13715.2188	1
13725.0294	0
13734.8400	0
13744.6506	0
13754.4612	1
13764.2718	0
13774.0824	0
13783.8930	1
13793.7036	0
13803.5142	0
13813.3248	0
13823.1354	1
13832.9460	1
13842.7566	1
13852.5672	3
13862.3778	2
13872.1884	1
13881.9990	1
13891.8096	0
13901.6202	0
13911.4308	0
13921.2414	0
13931.0520	0
13940.8626	2
13950.6732	0
13960.4838	0
13970.2944	1
13980.1050	0
13989.9156	0
13999.7262	2
14009.5368	1
14019.3474	1
14029.1580	1
14038.9686	1
14048.7792	1
14058.5898	1
14068.4004	1
14078.2110	0
14088.0216	0
14097.8322	0
14107.6428	1
14117.4534	0
14127.2640	2
14137.0746	3
14146.8852	0
14156.6958	0
14166.5064	0
14176.3170	1
14186.1276	0
14195.9382	0
14205.7488	0
14215.5594	1
14225.3700	1
14235.1806	1
14244.9912	2
14254.8018	2
14264.6124	0
14274.4230	2
14284.2336	2
14294.0442	0
14303.8548	0
14313.6654	0
14323.4760	0
14333.2866	1
14343.0972	0
14352.9078	1
14362.7184	0
14372.5290	0
14382.3396	1
14392.1502	0
14401.9608	0
14411.7714	2
14421.5820	0
14431.3926	1
14441.2032	1
14451.0138	1
14460.8244	0
14470.6350	0
14480.4456	1
14490.2562	1
14500.0668	1
14509.8774	2
14519.6880	1
14529.4986	0
14539.3092	0
14549.1198	0
14558.9304	0
14568.7410	0
14578.5516	0
14588.3622	3
14598.1728	1
14607.9834	0
14617.7940	2
14627.6046	0
14637.4152	0
14647.2258	1
14657.0364	1
14666.8470	1
14676.6576	0
14686.4682	0
14696.2788	0
14706.0894	1
14715.9000	0
14725.7106	1
14735.5212	0
14745.3318	2
14755.1424	0
14764.9530	0
14774.7636	1
14784.5742	0
14794.3848	0
14804.1954	2
14814.0060	0
14823.8166	0
14833.6272	1
14843.4378	0
14853.2484	0
14863.0590	0
14872.8696	0
14882.6802	0
14892.4908	0
14902.3014	0
14912.1120	0
14921.9226	0
14931.7332	1
14941.5438	1
14951.3544	1
14961.1650	0
14970.9756	1
14980.7862	1
14990.5968	0
15000.4074	0
15010.2180	0
15020.0286	0
15029.8392	0
15039.6498	1
15049.4604	0
15059.2710	1
15069.0816	0
15078.8922	2
15088.7028	0
15098.5134	2
15108.3240	0
15118.1346	0
15127.9452	1
15137.7558	1
15147.5664	2
15157.3770	0
15167.1876	0
15176.9982	0
15186.8088	0
15196.6194	0
15206.4300	0
15216.2406	0
15226.0512	1
15235.8618	0
15245.6724	1
15255.4830	0
15265.2936	2
15275.1042	0
15284.9148	0
15294.7254	0
15304.5360	0
15314.3466	1
15324.1572	0
15333.9678	0
15343.7784	1
15353.5890	1
15363.3996	0
15373.2102	0
15383.0208	1
15392.8314	0
15402.6420	0
15412.4526	1
15422.2632	0
15432.0738	0
15441.8844	1
15451.6950	0
15461.5056	0
15471.3162	1
15481.1268	0
15490.9374	1
15500.7480	0
15510.5586	1
15520.3692	1
15530.1798	0
15539.9904	0
15549.8010	1
15559.6116	0
15569.4222	0
15579.2328	0
15589.0434	1
15598.8540	0
15608.6646	0
15618.4752	0
15628.2858	0
15638.0964	1
15647.9070	1
15657.7176	0
15667.5282	0
15677.3388	1
15687.1494	0
15696.9600	1
15706.7706	0
15716.5812	2
15726.3918	0
15736.2024	2
15746.0130	0
15755.8236	1
15765.6342	0
15775.4448	0
15785.2554	0
15795.0660	0
15804.8766	0
15814.6872	0
15824.4978	3
15834.3084	1
15844.1190	0
15853.9296	0
15863.7402	2
15873.5508	0
15883.3614	0
15893.1720	0
15902.9826	1
15912.7932	1
15922.6038	1
15932.4144	0
15942.2250	0
15952.0356	0
15961.8462	1
15971.6568	0
15981.4674	1
15991.2780	0
16001.0886	1
16010.8992	0
16020.7098	0
16030.5204	0
16040.3310	0
16050.1416	1
16059.9522	0
16069.7628	0
16079.5734	0
16089.3840	0
16099.1946	0
16109.0052	2
16118.8158	0
16128.6264	0
16138.4370	0
16148.2476	0
16158.0582	1
16167.8688	0
16177.6794	1
16187.4900	0
16197.3006	0
16207.1112	0
16216.9218	1
16226.7324	0
16236.5430	0
16246.3536	0
16256.1642	0
16265.9748	1
16275.7854	1
16285.5960	1
16295.4066	0
16305.2172	0
16315.0278	1
16324.8384	0
16334.6490	1
16344.4596	0
16354.2702	0
16364.0808	1
16373.8914	1
16383.7020	2
16393.5126	1
16403.3232	2
16413.1338	1
16422.9444	1
16432.7550	0
16442.5656	1
16452.3762	0
16462.1868	1
16471.9974	0
16481.8080	0
16491.6186	0
16501.4292	0
16511.2398	0
16521.0504	0
16530.8610	0
16540.6716	2
16550.4822	0
16560.2928	1
16570.1034	0
16579.9140	0
16589.7246	0
16599.5352	0
16609.3458	0
16619.1564	1
16628.9670	0
16638.7776	0
16648.5882	0
16658.3988	1
16668.2094	0
16678.0200	0
16687.8306	0
16697.6412	0
16707.4518	0
16717.2624	1
16727.0730	1
16736.8836	0
16746.6942	1
16756.5048	1
16766.3154	1
16776.1260	1
16785.9366	0
16795.7472	0
16805.5578	0
16815.3684	0
16825.1790	1
16834.9896	0
16844.8002	1
16854.6108	0
16864.4214	0
16874.2320	1
16884.0426	0
16893.8532	0
16903.6638	0
16913.4744	0
16923.2850	0
16933.0956	0
16942.9062	0
16952.7168	1
16962.5274	0
16972.3380	0
16982.1486	2
16991.9592	0
17001.7698	1
17011.5804	2
17021.3910	1
17031.2016	1
17041.0122	0
17050.8228	1
17060.6334	0
17070.4440	0
17080.2546	1
17090.0652	0
17099.8758	1
17109.6864	0
17119.4970	0
17129.3076	0
17139.1182	0
17148.9288	0
17158.7394	0
17168.5500	0
17178.3606	0
